id,name,full_name,aliases,description,role,nationality,gender
1,Salvatore Greco,Salvatore Greco,['Greco'],"Sicilian Mafia boss, head of the Greci clan. Aged 55. Dedicated his life to resurrecting his family's influence after his father was murdered by the rival Matteo family in the 1990s. Has hunted down and killed all surviving Mattei. Personally responsible for at least 60 murders. Controls the Palermo drug trade, with enterprises worth an estimated $20-30 billion. Austere in tastes and pathologically averse to public attention.",antagonist,Italian,male
2,Villanelle,Oxana Borisovna Vorontsova,['Oxana' 'Oxana Vorontsova' 'Sylviane Morel' 'Irina Skoryk' 'Manon Lefebvre' 'Julia Fanin' 'Sylvie Dazat' 'Marina Falieri' 'Violette Duroc' 'Maria Bogomolova' 'Malgorzata Spurrell' 'Goz'],"Oxana Borisovna Vorontsova, from Perm, around 25-26 years old. Professional assassin for the Twelve, codenamed Villanelle. Trained in Europe. Blonde, with grey eyes and a scar on her upper lip; she often wears her hair up. Slender, with toned arms. She is polyglot with an academic background in Linguistics, fluent in Russian, English, French and Italian, and delivers cover stories flawlessly. She has photographic memory and expertise in fashion and haute cuisine. Her demeanour alternates between cold detachment and playful seductiveness. In social settings she is sophisticated and charming; in professional contexts, blunt and direct.",protagonist,Russian,female
3,Olivier,,[],"Young man in his mid-twenties, encountered at Le Jasmin club in Paris. Recently launched a career as an art dealer. Elegantly dishevelled with a languid posture and wry smile. Wry, confident, and flirtatious in manner, with a sophisticated upper-class French register.",minor,French,male
4,Nica,,[],"Young woman in her mid-twenties, encountered at Le Jasmin club in Paris. Works intermittently as an actress. Cat-like and exquisite, with golden eyes and a cool, assessing manner. Direct and challenging in speech, favouring short declarative sentences, with a sophisticated upper-class French register.",minor,French,female
5,Konstantin,Konstantin Orlov,['Orlov'],"Villanelle's former handler for the Twelve. Ex-head of operations at Directorate S, the espionage and agent-running wing of the SVR. His Operations Department was the Russian equivalent of the British E Squadron — special forces for deniable and deep-cover operations. Left the SVR ten years before the events of book 2. Calm, methodical, and authoritative in demeanour. Recruited Villanelle three years before the story begins.",supporting,Russian,male
6,Boris Vorontsov,Boris Vorontsov,['Senior Sergeant Boris Vorontsov'],Father of Villanelle/Oxana. Senior sergeant in the Russian Spetsnaz and close-combat instructor. Decorated veteran of Grozny and Pervomayskoye during the Chechen wars. Killed by the Brothers' Circle after falling out with gangsters he was moonlighting for.,mentioned,Russian,male
7,Anna Leonova,Anna Ivanovna Leonova,['Miss Leonova' 'Anna'],"French teacher in Perm who took a special interest in her troubled but linguistically gifted pupil Oxana Vorontsova. About forty, with soft tired eyes, a beret, and a faint smell of cigarettes. Gentle, patient, and principled. Contacted by an unknown source to help Eve in Perm after the Bolshoi events.",supporting,Russian,female
8,Calogera Greco,Calogera Greco,['Calogera'],Wife of Salvatore Greco. Rarely leaves the fortified farmhouse outside Palermo.,mentioned,Italian,female
9,Valentina Greco,Valentina Greco,['Valentina'],"Daughter of Salvatore Greco. Lives in a neighbouring village, married to the eldest son of her father's consigliere.",mentioned,Italian,female
10,Bruno De Santis,Bruno De Santis,[],"Journalist at Corriere della Sera. Wrote an article criticising Franca Farfaglia for accepting a donation from Salvatore Greco. Survived a near-fatal hit-and-run in Trastevere, Rome.",mentioned,Italian,male
11,Franca Farfaglia,Franca Farfaglia,[],"Young Sicilian soprano, twenty-six years old. Studies at La Scala Theatre Academy in Milan. Commanding in appearance with proud, severe features. Accepted a donation from Salvatore Greco towards her studies.",minor,Italian,female
12,Frank,,[],"Former Special Boat Service instructor, about sixty years old. Knotty and taciturn, with a gaze as cold as the North Sea. Wears a faded cotton tracksuit and old tennis shoes in all weathers. Trains Oxana in fitness and unarmed combat on the Essex coast. Teaches by physical example, having refined elements of ju-jitsu, street-fighting, and other techniques into a single discipline.",minor,British,male
13,Yuliana,,[],Psychotherapist at the University of Perm. Seduced by Oxana during her first year as an undergraduate.,mentioned,Russian,female
14,Fantine,,[],"Tiny, fierce-looking woman of about sixty, dressed entirely in black. Lives in a first-floor apartment on the Quai Voltaire, Left Bank, Paris. Teaches Oxana Parisian style — fashion, hair, and scent — as a ruthlessly critical mentor. Sharp, dismissive, and imperious in manner.",minor,French,female
15,Leoluca Messina,Leoluca Messina,['Leoluca'],"Lean, dark-haired man of about thirty-five with saturnine good looks. Sicilian, speaks Italian with the rasp of Sicily. Confident, commanding, and flirtatious with an edge of threat in his gaze. Wears an impeccable silver-grey shirt and a lightweight Brioni blazer.",minor,Italian,male
16,Yiorgos Vlachos,Yiorgos Vlachos,['Vlachos'],Greek man purchasing radioactive cobalt-60 in Eastern Europe with probable intent to detonate a dirty bomb in Athens. Villanelle's first professional target.,mentioned,Greek,male
17,Dragan Horvat,Dragan Horvat,['Horvat'],Balkan politician running a human trafficking network. Became infatuated with a seventeen-year-old heroin-addicted girl from Tbilisi and took her on expensive shopping sprees in European capital cities. Villanelle's second professional target.,mentioned,,male
