id,name,aliases,organization_type,description,first_appearance_book_id
1,The Twelve,['Dvenadtsat'],criminal,"Shadowy organization of twelve powerful men who convene at Palazzo Falconieri. They conduct discussions in Russian and English, control capital flows, and commission assassinations through formal voting procedures using antique ivory fish tokens (red for death, yellow to spare). Villanelle works for them.",1
2,Cosa Nostra,['Sicilian Mafia'],criminal,The Sicilian Mafia. The overarching structure within which clans such as the Greci and Matteo families operate.,1
3,'Ndrangheta,[],criminal,"Criminal organization from the southern Italian region of Calabria. Until eighteen months before the story begins, they were the principal European distribution partners of the Mexican drug cartels for cocaine. They lost this role to the Greci clan.",1
4,Greci clan,['the Greci' 'Greci'],criminal,"Resurgent Sicilian Mafia clan led by Salvatore Greco. Allied with the Messini clan. The richest, most powerful, and most feared Sicilian clan. They control the Palermo drug trade through an alliance with Mexican cartels, with enterprises worth an estimated $20-30 billion.",1
5,Matteo family,['the Mattei'],criminal,Rival Sicilian Mafia clan. A member of this family murdered Salvatore Greco's father in the 1990s. Salvatore subsequently hunted down and killed all surviving Mattei.,1
6,Messini clan,['the Messini'],criminal,"Sicilian Mafia clan, associates of the Greci. Part of the most powerful alliance in Sicily.",1
7,Brothers' Circle,[],criminal,One of the most violent and ruthless criminal organizations in Russia. Responsible for the death of Boris Vorontsov (Villanelle's father). Villanelle killed three of their foot soldiers in retaliation.,1
8,Corriere della Sera,['Corriere'],media,Italian newspaper. Bruno De Santis works as a journalist there.,1
9,Special Boat Service,['SBS'],military,British special forces unit (Royal Navy). Frank was a former SBS instructor.,1
10,Société Générale,[],commercial,"French multinational bank. Villanelle holds a current account there, funded through a day-trading cover identity.",1
11,Polizia di Stato,[],government,Italian national civil police force. Agent Paolo Vella is based in the Palermo division.,1
12,MI5,['Security Service' 'Thames House'],intelligence_agency,"British domestic security service, headquartered at Thames House on Millbank. Eve works in the P3 section.",1
